"Stride (floats)","elements touched","tavg (ns) @ n=32768"
1,32768,1.867676
2,16384,1.666260
4,8192,1.724243
8,4096,2.014160
16,2048,3.659058
32,1024,3.659058
64,512,3.552246
128,256,3.549194
256,128,5.078125
512,64,7.141114
1024,32,9.353638
2048,16,8.416748
4096,8,3.244019
8192,4,2.624512
16384,2,4.733276
