"Stride (floats)","elements touched","tavg (ns) @ n=2097152"
1,2097152,0.653601
2,1048576,0.738287
4,524288,0.919676
8,262144,1.595402
16,131072,2.950764
32,65536,4.414749
64,32768,4.582071
128,16384,4.491329
256,8192,4.982948
512,4096,5.178499
1024,2048,6.187630
2048,1024,5.071878
4096,512,4.928493
8192,256,4.892826
16384,128,4.631042
32768,64,4.256630
65536,32,3.997469
131072,16,5.612469
262144,8,4.530191
524288,4,4.528189
1048576,2,1.873827
