"Stride (floats)","elements touched","tavg (ns) @ n=8192"
1,8192,2.526855
2,4096,2.197266
4,2048,2.099609
8,1024,2.172852
16,512,2.270508
32,256,2.062988
64,128,2.368164
128,64,2.636719
256,32,2.978516
512,16,2.954102
1024,8,3.845215
2048,4,3.015137
4096,2,5.627441
