"Stride (floats)","elements touched","tavg (ns) @ n=524288"
1,524288,0.796890
2,262144,0.705528
4,131072,0.844002
8,65536,1.276207
16,32768,2.007103
32,16384,1.978111
64,8192,1.957321
128,4096,1.895905
256,2048,2.433586
512,1024,3.358269
1024,512,4.287529
2048,256,4.248810
4096,128,4.163170
8192,64,4.158401
16384,32,4.029465
32768,16,3.560638
65536,8,1.764297
131072,4,1.008415
262144,2,1.873398
