"Stride (floats)","elements touched","tavg (ns) @ n=2048"
1,2048,2.636719
2,1024,1.757812
4,512,1.806641
8,256,1.855469
16,128,2.197266
32,64,2.001953
64,32,2.636719
128,16,1.953125
256,8,1.953125
512,4,3.027344
1024,2,6.250000
