"Stride (floats)","elements touched","tavg (ns) @ n=65536"
1,65536,1.718140
2,32768,1.579285
4,16384,1.722717
8,8192,2.128601
16,4096,3.503418
32,2048,3.550720
64,1024,3.506469
128,512,3.430176
256,256,5.030823
512,128,6.990051
1024,64,8.839417
2048,32,9.352112
4096,16,7.496643
8192,8,2.682495
16384,4,2.107239
32768,2,3.915405
