"Stride (floats)","elements touched","tavg (ns) @ n=16384"
1,16384,2.136230
2,8192,1.928711
4,4096,1.818848
8,2048,2.349854
16,1024,3.613281
32,512,3.497314
64,256,3.466797
128,128,3.869629
256,64,5.316162
512,32,7.275391
1024,16,10.046387
2048,8,4.150391
4096,4,3.118896
8192,2,4.998779
