"Stride (floats)","elements touched","tavg (ns) @ n=8388608"
1,8388608,0.662911
2,4194304,0.810838
4,2097152,1.526761
8,1048576,2.860749
16,524288,5.662119
32,262144,6.889319
64,131072,7.002699
128,65536,6.114078
256,32768,6.212699
512,16384,6.536090
1024,8192,7.640791
2048,4096,7.948518
4096,2048,9.247362
8192,1024,12.322521
16384,512,13.746560
32768,256,15.128731
65536,128,12.232256
131072,64,6.333077
262144,32,10.609341
524288,16,10.284221
1048576,8,5.282688
2097152,4,4.529345
4194304,2,1.874340
