"Stride (floats)","elements touched","tavg (ns) @ n=131072"
1,131072,1.431274
2,65536,1.457977
4,32768,1.564026
8,16384,2.212524
16,8192,3.524781
32,4096,3.557587
64,2048,3.347015
128,1024,3.306580
256,512,4.415894
512,256,6.029510
1024,128,7.376099
2048,64,6.990051
4096,32,6.584930
8192,16,5.361176
16384,8,2.908325
32768,4,1.617432
65536,2,3.011322
