"Stride (floats)","elements touched","tavg (ns) @ n=4194304"
1,4194304,0.667715
2,2097152,0.759220
4,1048576,1.358080
8,524288,2.692676
16,262144,5.331373
32,131072,5.376530
64,65536,5.516243
128,32768,5.026221
256,16384,5.245733
512,8192,5.666137
1024,4096,6.648159
2048,2048,6.621456
4096,1024,7.508255
8192,512,8.920026
16384,256,9.317875
32768,128,10.672450
65536,64,4.091287
131072,32,6.196761
262144,16,9.561181
524288,8,5.282593
1048576,4,4.529190
2097152,2,1.874018
