"Stride (floats)","elements touched","tavg (ns) @ n=1048576"
1,1048576,0.639153
2,524288,0.640965
4,262144,0.747585
8,131072,1.159668
16,65536,1.880074
32,32768,1.880741
64,16384,1.903725
128,8192,1.907921
256,4096,2.344608
512,2048,3.364849
1024,1024,4.528713
2048,512,4.703712
4096,256,4.593849
8192,128,4.624271
16384,64,4.483891
32768,32,4.304123
65536,16,3.944016
131072,8,2.395821
262144,4,3.042603
524288,2,1.874733
