"Stride (floats)","elements touched","tavg (ns) @ n=1024"
1,1024,3.710938
2,512,1.855469
4,256,1.855469
8,128,1.855469
16,64,2.050781
32,32,2.148438
64,16,1.953125
128,8,1.855469
256,4,2.636719
512,2,5.273438
