"Stride (floats)","elements touched","tavg (ns) @ n=4096"
1,4096,2.685547
2,2048,2.221680
4,1024,2.246094
8,512,2.270508
16,256,2.294922
32,128,2.343750
64,64,2.465820
128,32,2.758789
256,16,2.905273
512,8,2.612305
1024,4,2.685547
2048,2,6.518555
