"Stride (floats)","elements touched","tavg (ns) @ n=262144"
1,262144,1.117706
2,131072,0.996399
4,65536,1.158524
8,32768,1.789474
16,16384,2.703094
32,8192,2.742386
64,4096,2.561569
128,2048,2.692032
256,1024,3.597641
512,512,4.578018
1024,256,5.670166
2048,128,5.528641
4096,64,5.078888
8192,32,4.863739
16384,16,4.228973
32768,8,2.063370
65536,4,1.174545
131072,2,2.141190
