N,Naive (ns),Tiled (ns),Transposed (ns),Cublas (ns),CPU 16 Thds OMP (ns)
32,414813,382570,373753,1015792,4481686
64,406657,388807,386129,1040500,64558
128,504320,436252,430663,1073867,399340
256,924514,691441,685319,2594040,3771432
512,3470159,2492111,2479942,8195665,43730068
1024,16243920,10828183,10741853,44793433,260512599
2048,94598430,69411866,66550105,78967859,2091055111
4096,730012790,504703547,500862819,759753264,103899813727
