k,Error,Runtime ns
8,3.28E-02,7485075
9,8.20E-03,10314611
10,8.18E-03,13443993
11,2.05E-03,20751455
12,2.05E-03,57123284
13,5.11E-04,164853500
14,5.11E-04,424038663
15,1.28E-04,1041059620
16,1.28E-04,3864356958
