0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,254759305,127540549,91198434,69872307,57578300,49487836,44056281,39862412,36420571,32776962,29814698,35669890,36023888,33531430,31293831,28490376
2,270975412,191150906,148637141,105450984,85581574,70113592,59700948,49232128,42722877,43029886,49637399,36131506,33214630,31233959,28977365,26999725
3,137635861,141541795,94370507,70806872,56729812,47248477,40569808,35535124,31644578,47413517,26143213,24622480,32055238,22112883,19814937,18077993
4,149389115,106571935,94778169,53426443,42850179,35767834,28871663,26224732,33780866,34989311,31502022,25906995,30825150,22789809,20469750,16056467
5,158767289,80977960,72180593,42556673,52779997,35865881,50224706,67564206,32308227,42546894,39916055,37559626,43775838,34316945,37694853,39106518
6,123269458,122550907,73932531,57123284,83810241,50326757,46713880,39467558,37082663,38108120,35098556,38203859,40910007,39049749,26840793,35991098
7,114305583,60468233,122448602,60716340,60797405,52247915,40452540,54130170,31728805,27324310,28728000,28529408,51214138,32928467,29947999,33351544
