k,Error,Runtime ns
8,9.24E-05,12246355
9,1.83E-05,11153000
10,6.66E-06,13041869
11,1.26E-06,14472706
12,1.67E-07,31502022
13,6.81E-08,107772484
14,1.72E-08,279441849
15,3.34E-09,770788127
16,1.26E-09,2790842430
