k,Error,Runtime ns
8,8.24E-03,11833211
9,8.20E-03,11156816
10,2.05E-03,12844929
11,2.05E-03,11511712
12,5.12E-04,22112883
13,5.11E-04,80062293
14,1.28E-04,290604719
15,1.28E-04,801668608
16,3.20E-05,3022685591
