k,Error,Runtime ns
8,9.24E-05,10282751
9,1.83E-05,11292414
10,6.66E-06,12809908
11,1.26E-06,16722549
12,1.67E-07,30825150
13,6.81E-08,86057790
14,1.72E-08,249206635
15,3.34E-09,621381052
16,1.26E-09,2405662972
