k,Error,Runtime ns
8,3.28E-02,873269
9,4.11E-03,2039383
10,4.09E-03,7657610
11,4.09E-03,30465799
12,5.12E-04,114305583
13,5.11E-04,296591566
14,5.11E-04,878449125
15,6.39E-05,3029704914
16,6.39E-05,11962085069
