k,Error,Runtime ns
8,3.28E-02,12565323
9,4.11E-03,15308097
10,4.09E-03,14541719
11,4.09E-03,16402022
12,5.12E-04,29947999
13,5.11E-04,72099152
14,5.11E-04,176838437
15,6.39E-05,490003637
16,6.39E-05,1808514103
