k,Error,Runtime ns
8,8.24E-03,10338829
9,8.20E-03,11693440
10,8.18E-03,13802506
11,3.07E-03,20731524
12,5.12E-04,37559626
13,5.11E-04,92446368
14,5.11E-04,246909593
15,1.92E-04,731587346
16,3.20E-05,2736608574
