k,Error,Runtime ns
8,9.24E-05,5372198
9,1.83E-05,5253446
10,6.66E-06,6339827
11,1.26E-06,12028609
12,1.67E-07,49232128
13,6.81E-08,203683588
14,1.72E-08,602613312
15,3.34E-09,1817993252
16,1.26E-09,5937278619
