k,Error,Runtime ns
8,9.24E-05,10556054
9,1.83E-05,9832013
10,6.66E-06,11156408
11,1.26E-06,13688380
12,1.67E-07,20469750
13,6.81E-08,63059701
14,1.72E-08,181246090
15,3.34E-09,586889285
16,1.26E-09,2074516138
