k,Error,Runtime ns
8,9.24E-05,3041209
9,1.83E-05,4676627
10,6.66E-06,8207975
11,1.26E-06,36936384
12,1.67E-07,148637141
13,6.81E-08,356613796
14,1.72E-08,1125208161
15,3.34E-09,4361631340
16,1.26E-09,14864010499
