k,Error,Runtime ns
8,9.24E-05,1508219
9,1.83E-05,1758397
10,6.66E-06,5526658
11,1.26E-06,21453132
12,1.67E-07,85581574
13,6.81E-08,225790333
14,1.72E-08,569448175
15,3.34E-09,2346283397
16,1.26E-09,9241282324
