k,Error,Runtime ns
8,9.24E-05,9842762
9,1.83E-05,11784478
10,6.66E-06,5719065
11,1.26E-06,9030508
12,1.67E-07,31233959
13,6.81E-08,122749299
14,1.72E-08,386132619
15,3.34E-09,1007260251
16,1.26E-09,3382976931
