k,Error,Runtime ns
8,9.24E-05,11351054
9,1.83E-05,12606109
10,6.66E-06,12769134
11,1.26E-06,15021411
12,1.67E-07,22789809
13,6.81E-08,65075035
14,1.72E-08,208886856
15,3.34E-09,565521893
16,1.26E-09,2117088213
