k,Error,Runtime ns
8,9.24E-05,4783466
9,1.83E-05,4947818
10,6.66E-06,5583583
11,1.26E-06,10785210
12,1.67E-07,59700948
13,6.81E-08,144880028
14,1.72E-08,439420798
15,3.34E-09,1514260729
16,1.26E-09,7611768741
