k,Error,Runtime ns
8,8.24E-03,1623783
9,8.20E-03,1540133
10,2.05E-03,4492682
11,2.05E-03,17688619
12,5.12E-04,70806872
13,5.11E-04,234697910
14,1.28E-04,471038508
15,1.28E-04,1923757647
16,3.20E-05,8190020713
