k,Error,Runtime ns
8,8.24E-03,16106502
9,8.20E-03,18089197
10,8.18E-03,25502882
11,3.07E-03,30740054
12,5.12E-04,67564206
13,5.11E-04,144830201
14,5.11E-04,337088175
15,1.92E-04,953521170
16,3.20E-05,3780785041
