k,Error,Runtime ns
8,8.24E-03,8989012
9,8.20E-03,11385012
10,8.18E-03,13853488
11,3.07E-03,19164312
12,5.12E-04,50224706
13,5.11E-04,137534364
14,5.11E-04,306795136
15,1.92E-04,1027619715
16,3.20E-05,3646143478
