k,Error,Runtime ns
8,9.24E-05,688280
9,1.83E-05,934068
10,6.66E-06,2916058
11,1.26E-06,11129445
12,1.67E-07,44056281
13,6.81E-08,175144728
14,1.72E-08,700281905
15,3.34E-09,2847591414
16,1.26E-09,11207267879
