k,Error,Runtime ns
8,3.28E-02,14165255
9,8.20E-03,17193506
10,8.18E-03,20263861
11,2.05E-03,25758497
12,2.05E-03,40910007
13,5.11E-04,98407213
14,5.11E-04,258253689
15,1.28E-04,817929599
16,1.28E-04,2910862952
