0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,4011709,2176288,1570832,1282406,1190329,1185732,934068,1235126,1151659,1133730,1176504,5984064,4711675,5706718,5487187,5321983
2,4077689,5600484,4676627,4407114,1758397,4641700,4947818,5253446,5192746,1977830,12057831,9944913,4693440,11784478,3047170,5868921
3,4443069,2366702,1581672,1540133,1277460,1331514,1447825,1177508,2025922,12038906,9098647,8888803,11180081,11156816,10182083,6404127
4,3278451,1937203,12351756,1238022,1030027,1218678,1742709,1250031,9440560,10813800,11153000,11646891,11292414,12606109,9832013,11536347
5,2819532,5592561,9686284,7433133,11052125,9398416,11385012,18089197,10358509,12015127,16796260,11693440,21194657,14254980,17488372,18831367
6,2427080,12147172,10367177,10314611,21556367,10686425,10230124,10655349,10669404,12863716,13169328,19508731,17193506,19811145,12153362,16568339
7,2039383,5488389,19924268,10030461,18153580,21406645,10659344,21144147,8974702,11170324,9999603,11993038,27425512,21292260,15308097,19107388
