0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,63706789,32073956,22788383,17632529,14549614,12524961,11129445,10107529,9178996,8272096,7539518,11672382,10927371,10885199,10675677,10147736
2,91366270,50944496,36936384,23621402,21453132,13940410,10785210,12028609,11206172,11091498,20486232,10075434,8761580,9030508,7625634,7344817
3,70670688,35434075,23613202,17688619,14254496,11919882,10288213,8987471,7995705,19277328,7454074,7070077,17044734,11511712,7289223,5184065
4,52519902,26686858,32973518,13343661,10819078,9073027,7295409,6299129,16017666,15976570,14472706,14352967,16722549,15021411,13688380,8817823
5,42586858,19762268,25089390,16203906,25485481,16375428,19164312,30740054,15359312,22423288,24610862,20731524,27243610,19974260,23798095,25605966
6,35188943,42373531,24399323,20751455,37959733,22519773,18899674,18288989,17004086,21601898,15927725,24829828,25758497,25567099,14339250,21686448
7,30465799,18171349,50895566,27711739,28036660,25651295,17993999,30672175,15152276,15051715,16903185,15227928,32773848,24168280,16402022,21165702
