k,Error,Runtime ns
8,9.24E-05,12589473
9,1.83E-05,11536347
10,6.66E-06,9181063
11,1.26E-06,8817823
12,1.67E-07,16056467
13,6.81E-08,63014192
14,1.72E-08,212406878
15,3.34E-09,510687253
16,1.26E-09,1844456576
