k,Error,Runtime ns
8,8.24E-03,4702099
9,8.20E-03,2025922
10,2.05E-03,2469425
11,2.05E-03,7995705
12,5.12E-04,31644578
13,5.11E-04,126007803
14,1.28E-04,415100476
15,1.28E-04,1096906965
16,3.20E-05,4966549296
