k,Error,Runtime ns
8,9.24E-05,10094999
9,1.83E-05,10813800
10,6.66E-06,12506422
11,1.26E-06,15976570
12,1.67E-07,34989311
13,6.81E-08,95759637
14,1.72E-08,309487550
15,3.34E-09,888758939
16,1.26E-09,3233629821
