k,Error,Runtime ns
8,9.24E-05,571878
9,1.83E-05,2176288
10,6.66E-06,8174340
11,1.26E-06,32073956
12,1.67E-07,127540549
13,6.81E-08,509741761
14,1.72E-08,2038463568
15,3.34E-09,8156251665
16,1.27E-09,32844170126
