k,Error,Runtime ns
8,9.24E-05,8091168
9,1.83E-05,12351756
10,6.66E-06,15160886
11,1.26E-06,32973518
12,1.67E-07,94778169
13,6.81E-08,240024262
14,1.72E-08,726260383
15,3.34E-09,2232286423
16,1.26E-09,7799697181
