k,Error,Runtime ns
8,9.24E-05,7746703
9,1.83E-05,3047170
10,6.66E-06,2731035
11,1.26E-06,7625634
12,1.67E-07,28977365
13,6.81E-08,115719598
14,1.72E-08,369077397
15,3.34E-09,965491364
16,1.26E-09,3229510662
