k,Error,Runtime ns
8,9.24E-05,2667373
9,1.83E-05,1250031
10,6.66E-06,1844439
11,1.26E-06,6299129
12,1.67E-07,26224732
13,6.81E-08,106765579
14,1.72E-08,306458425
15,3.34E-09,931187259
16,1.26E-09,4048045847
