k,Error,Runtime ns
8,3.28E-02,13044892
9,8.20E-03,13169328
10,8.18E-03,12891803
11,2.05E-03,15927725
12,2.05E-03,35098556
13,5.11E-04,94986861
14,5.11E-04,272736948
15,1.28E-04,719402378
16,1.28E-04,2602443749
