k,Error,Runtime ns
8,8.24E-03,1969433
9,8.20E-03,1177508
10,2.05E-03,2440754
11,2.05E-03,8987471
12,5.12E-04,35535124
13,5.11E-04,141740538
14,1.28E-04,470878121
15,1.28E-04,1186762970
16,3.20E-05,5476386598
