k,Error,Runtime ns
8,9.24E-05,3581103
9,1.83E-05,5600484
10,6.66E-06,11795714
11,1.26E-06,50944496
12,1.67E-07,191150906
13,6.81E-08,532620745
14,1.72E-08,2047957957
15,3.34E-09,8159148102
16,1.27E-09,32994889979
