k,Error,Runtime ns
8,9.24E-05,11877607
9,1.83E-05,9944913
10,6.66E-06,5401627
11,1.26E-06,10075434
12,1.67E-07,36131506
13,6.81E-08,143160968
14,1.72E-08,433030534
15,3.34E-09,1202853402
16,1.26E-09,4747586647
