k,Error,Runtime ns
8,8.24E-03,14219115
9,8.20E-03,18831367
10,8.18E-03,20323093
11,3.07E-03,25605966
12,5.12E-04,39106518
13,5.11E-04,81211648
14,5.11E-04,224845999
15,1.92E-04,596313012
16,3.20E-05,2013856623
