k,Error,Runtime ns
8,8.24E-03,10150672
9,8.20E-03,10182083
10,2.05E-03,8558887
11,2.05E-03,7289223
12,5.12E-04,19814937
13,5.11E-04,76039884
14,1.28E-04,262071629
15,1.28E-04,660995740
16,3.20E-05,2770404559
