k,Error,Runtime ns
8,9.24E-05,5240832
9,1.83E-05,5192746
10,6.66E-06,5685184
11,1.26E-06,11206172
12,1.67E-07,42722877
13,6.81E-08,175916398
14,1.72E-08,524791894
15,3.34E-09,1616369283
16,1.26E-09,5436453606
