k,Error,Runtime ns
8,9.24E-05,1133433
9,1.83E-05,1937203
10,6.66E-06,6768281
11,1.26E-06,26686858
12,1.67E-07,106571935
13,6.81E-08,248617923
14,1.72E-08,736424866
15,3.34E-09,3072252314
16,1.26E-09,12044519992
