k,Error,Runtime ns
8,9.24E-05,2209833
9,1.83E-05,1176504
10,6.66E-06,2108901
11,1.26E-06,7539518
12,1.67E-07,29814698
13,6.81E-08,119045045
14,1.72E-08,476056390
15,3.34E-09,1985490444
16,1.26E-09,8503100625
