k,Error,Runtime ns
8,9.24E-05,7328814
9,1.83E-05,9440560
10,6.66E-06,11429673
11,1.26E-06,16017666
12,1.67E-07,33780866
13,6.81E-08,103979133
14,1.72E-08,246760743
15,3.34E-09,823655383
16,1.26E-09,3479863143
