0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,16004435,8174340,5827135,4545203,3816285,3324592,2916058,2758159,2479714,2268292,2108901,6775709,6225720,5944202,6291813,6160324
2,22691226,11795714,8207975,7307512,5526658,6109268,5583583,6339827,5685184,3183598,14280264,5401627,3507987,5719065,2731035,3517643
3,17702015,8933650,5938097,4492682,3697715,3171970,2840625,2440754,2469425,13891642,4552002,4407806,12962498,12844929,8558887,3186519
4,13140166,6768281,15160886,3238694,2845092,2487293,2231502,1844439,11429673,12506422,13041869,10692485,12809908,12769134,11156408,9181063
5,10667538,8188447,12880784,9973585,13987505,11315211,13853488,25502882,12906839,15533252,20786986,13802506,21393627,15755899,22639453,20323093
6,8876418,17683303,14425030,13443993,23510052,13149000,11920317,11353734,12501530,14045781,12891803,27399774,20263861,22506409,11828246,21751978
7,7657610,8328168,27258496,14029236,18445312,21230685,12614638,21468010,11838814,12489313,13362578,12795738,30882719,16637894,14541719,21520264
