k,Error,Runtime ns
8,9.24E-05,5258181
9,1.83E-05,5706718
10,6.66E-06,5944202
11,1.26E-06,10885199
12,1.67E-07,33531430
13,6.81E-08,112490931
14,1.72E-08,417330004
15,3.34E-09,1656126672
16,1.26E-09,6594143090
