Length,ns/byte
1,631.320290
2,299.216481
4,141.619239
8,73.509000
16,37.845894
32,17.707862
64,10.185431
128,5.430593
256,3.278728
512,2.137654
1024,1.289095
2048,0.866720
4096,0.764956
8192,0.592024
16384,0.601261
32768,0.432653
65536,0.313185
131072,0.257435
262144,0.219624
524288,0.169813
1048576,0.133399
