Length,ns/byte
1,19534.840249
2,14087.398692
4,7039.110642
8,3514.578566
16,1783.368740
32,763.910066
64,343.147500
128,175.849891
256,95.034920
512,55.560046
1024,34.857294
2048,24.050166
4096,16.908767
8192,12.484515
16384,10.257324
32768,8.993264
65536,8.789565
131072,8.180201
262144,7.685294
524288,7.477008
1048576,7.380976
