Length,ns/byte
1,57592.638768
2,28209.159306
4,14110.807873
8,7047.322773
16,3576.657036
32,1803.907556
64,913.482533
128,475.651783
256,257.845992
512,146.494358
1024,83.319340
2048,55.535698
4096,38.770348
8192,30.348900
16384,27.908795
32768,25.284175
65536,34.607898
131072,28.956947
262144,26.079815
524288,26.512281
1048576,35.189885
