Length,ns/byte
1,697.366583
2,322.062988
4,161.041195
8,79.914268
16,41.317738
32,20.953545
64,10.628355
128,5.904136
256,3.492914
512,2.364914
1024,1.412369
2048,0.891608
4096,0.751186
8192,0.600049
16384,0.484536
32768,0.417521
65536,0.316879
131072,0.288601
262144,0.301531
524288,0.289532
1048576,0.282693
