N,Naive (ns),Tiled (ns),Transposed (ns),Cublas (ns),CPU 16 Thds OMP (ns)
16,422227,383958,376464,786779,1719534
32,393506,378955,373251,1023349,54771
64,416344,393939,388599,1073085,97337
128,504221,461763,453079,1095835,465848
256,863918,722014,714219,2654465,3281935
512,3149044,2629001,2604762,8554000,39678282
1024,12851155,10982854,10887870,41747542,271551204
2048,75695379,69359733,68343253,75733267,1731387302
4096,592118143,519538420,515099240,716269371,105639304194
