Length,ns/byte
1,4486.726539
2,1569.358574
4,665.961579
8,277.085974
16,157.980935
32,79.115864
64,41.026965
128,23.363057
256,13.439511
512,7.627506
1024,3.952891
2048,2.097122
4096,1.585279
8192,1.210977
16384,0.893624
32768,0.768436
65536,0.548179
131072,0.526746
262144,0.497602
524288,0.480604
1048576,0.413382
