Length,ns/byte
1,419.739081
2,209.796781
4,112.870566
8,56.482349
16,32.621415
32,16.178149
64,8.365760
128,4.724612
256,2.905487
512,1.965969
1024,1.145720
2048,0.731610
4096,0.676006
8192,0.525215
16384,0.418506
32768,0.374605
65536,0.287254
131072,0.278244
262144,0.299567
524288,0.286771
1048576,0.278110
