Length,ns/byte
1,62125.967816
2,28602.022212
4,14861.579984
8,6967.646186
16,3618.733899
32,1876.738679
64,909.478331
128,463.417564
256,241.251200
512,113.261194
1024,73.666115
2048,53.776944
4096,35.950194
8192,27.260256
16384,23.313405
32768,20.927263
65536,21.212973
131072,19.416541
262144,18.513957
524288,18.139999
1048576,17.927899
